Tên công ty,Email
Tập đoàn Công nghiệp - Viễn thông Quân đội (Viettel Group),tuanna62@viettel.com.vn
Tổng công ty Viettel,tuanna62@viettel.com.vn
Tập đoàn Bưu chính viễn Thông VNPT,thainb@gmail.com
Công ty TNHH Phần mềm FPT (Fsoft),recruitment@fpt.com
Viettel Post,tuyendung@viettelpost.com.vn
FPT Telecom,LinhNTP@fpt.com
Công ty Cổ phần Tập đoàn Đèo Cả,le.thanh.huyen@deoca.vn
Công ty CP Giao hàng tiết kiệm,recruitment.hcm@ghtk.co; info@ghtk.vn
MSB (Maritime Bank),tuyendung@msb.com.vn
CÔNG TY TNHH LG INNOTEK VIỆT NAM HẢI PHÒNG,thanhphong.pham@lginnotek.com
Công ty cổ phần MISA,npanh1@fresher.misa.com.vn
Công ty TNHH Harvey Nash (Vietnam),career@nashtechglobal.com
Công ty cổ phần Kinh doanh F88,Chittl2@f88.vn
CÔNG TY TNHH ĐIỆN TỬ BYD VIỆT NAM,ha.thithao@byd.com
Công ty CP VNG Ha Noi,info@vng.com.vn; Haont@vng.com.vn
Công ty Cổ phần VCCorp,ngocnguyennhu@vccorp.vn
USI Việt Nam,recruiting.hph@usiglobal.com
National Citizen Bank (NCB),tuyendung@ncb-bank.vn;callcenter@ncb-bank.vn
Công ty TNHH SUN ASTERISK VIỆT NAM,hr@sun-asterisk.com
Sun*,hr@sun-asterisk.com
Công ty cổ phần Bkav,tuyendung@bkav.com
Công ty Cổ phần VTI,ha.lethithu@vti.com.vn
CÔNG TY CỔ PHẦN CÔNG NGHỆ SOTATEK,hr@sotatek.com
SotaTek,hr@sotatek.com
Công ty CP NTQ,jobs@ntq-solution.com.vn
NTQ Solution,jobs@ntq-solution.com.vn
NAB Innovation Centre Vietnam (NAB Vietnam),karl.ngo@nab.com.au
NextTech,peacesoft@gmail.com
Công ty TNHH Sunny Opotech Việt Nam,Recruitment.SOVT@sunnyoptical.com
Be VN,recruitment@be.com.vn
Công ty TNHH Gameloft Vietnam,sai-recruitment@gameloft.com
VNPay,tuyendung@vnpay.vn
Viettel NET,tuyendung_vtnet@viettel.com.vn
Công ty CP Công nghệ BCVT (VNPT Technology),hoangtlm@vnpt-technology.vn
Omi Group,Dungtq@ominext.com
Công ty cổ phần SmartOSC,thonq@smartosc.com
Công ty cổ phần tập đoàn Ominext,tuyendung@ominext.com
Công ty cổ phần du lịch Việt Nam Vntravel,Giangtranbinh@gmail.com
Công ty TNHH Hybrid Technologies Việt Nam,huongvt@hybrid-technologies.co.jp
